Name,Date,Value,Year
Flu,03/17/15,2,2015
Flu,03/18/15,2,2015
Flu,03/19/15,2,2015
Flu,03/20/15,2,2015
Flu,03/21/15,1,2015
Flu,03/22/15,2,2015
Flu,03/23/15,2,2015
Flu,03/24/15,2,2015
Flu,03/25/15,2,2015
Flu,03/26/15,1,2015
Flu,03/27/15,1,2015
Flu,03/28/15,1,2015
Flu,03/29/15,1,2015
Flu,03/30/15,1,2015
Flu,03/31/15,1,2015
